"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","C02479V04377","Garda Region","UNIT","VALUE"
"RCD06C01","Recorded crimes","2018","2018","01","Homicide Offences","10","Dublin Metropolitan Region","Number","24"
"RCD06C01","Recorded crimes","2018","2018","01","Homicide Offences","20","North Western Region","Number","25"
"RCD06C01","Recorded crimes","2018","2018","01","Homicide Offences","30","Eastern Region","Number","17"
"RCD06C01","Recorded crimes","2018","2018","01","Homicide Offences","40","Southern Region","Number","22"
"RCD06C01","Recorded crimes","2018","2018","01","Homicide Offences","IE0","State","Number","88"
"RCD06C01","Recorded crimes","2018","2018","02","Sexual Offences","10","Dublin Metropolitan Region","Number","960"
"RCD06C01","Recorded crimes","2018","2018","02","Sexual Offences","20","North Western Region","Number","675"
"RCD06C01","Recorded crimes","2018","2018","02","Sexual Offences","30","Eastern Region","Number","829"
"RCD06C01","Recorded crimes","2018","2018","02","Sexual Offences","40","Southern Region","Number","750"
"RCD06C01","Recorded crimes","2018","2018","02","Sexual Offences","IE0","State","Number","3214"
"RCD06C01","Recorded crimes","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","6620"
"RCD06C01","Recorded crimes","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4328"
"RCD06C01","Recorded crimes","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4728"
"RCD06C01","Recorded crimes","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","4511"
"RCD06C01","Recorded crimes","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","20187"
"RCD06C01","Recorded crimes","2018","2018","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","1814"
"RCD06C01","Recorded crimes","2018","2018","04","Dangerous or Negligent Acts","20","North Western Region","Number","2129"
"RCD06C01","Recorded crimes","2018","2018","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2319"
"RCD06C01","Recorded crimes","2018","2018","04","Dangerous or Negligent Acts","40","Southern Region","Number","2298"
"RCD06C01","Recorded crimes","2018","2018","04","Dangerous or Negligent Acts","IE0","State","Number","8560"
"RCD06C01","Recorded crimes","2018","2018","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","50"
"RCD06C01","Recorded crimes","2018","2018","05","Kidnapping and Related Offences","20","North Western Region","Number","30"
"RCD06C01","Recorded crimes","2018","2018","05","Kidnapping and Related Offences","30","Eastern Region","Number","24"
"RCD06C01","Recorded crimes","2018","2018","05","Kidnapping and Related Offences","40","Southern Region","Number","31"
"RCD06C01","Recorded crimes","2018","2018","05","Kidnapping and Related Offences","IE0","State","Number","135"
"RCD06C01","Recorded crimes","2018","2018","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1792"
"RCD06C01","Recorded crimes","2018","2018","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","165"
"RCD06C01","Recorded crimes","2018","2018","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","253"
"RCD06C01","Recorded crimes","2018","2018","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","237"
"RCD06C01","Recorded crimes","2018","2018","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","2447"
"RCD06C01","Recorded crimes","2018","2018","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","7612"
"RCD06C01","Recorded crimes","2018","2018","07","Burglary and Related Offences","20","North Western Region","Number","2607"
"RCD06C01","Recorded crimes","2018","2018","07","Burglary and Related Offences","30","Eastern Region","Number","3995"
"RCD06C01","Recorded crimes","2018","2018","07","Burglary and Related Offences","40","Southern Region","Number","2744"
"RCD06C01","Recorded crimes","2018","2018","07","Burglary and Related Offences","IE0","State","Number","16958"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","35409"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","20","North Western Region","Number","7386"
