statistic,statistic_label,tlist(a1),year,c02480v03003,type_of_offence,c02479v04377,garda_region,unit,value
RCD06C01,Recorded crimes,2018,2018,1,Homicide Offences,10,Dublin Metropolitan Region,Number,24.0
RCD06C01,Recorded crimes,2018,2018,1,Homicide Offences,20,North Western Region,Number,25.0
RCD06C01,Recorded crimes,2018,2018,1,Homicide Offences,30,Eastern Region,Number,17.0
RCD06C01,Recorded crimes,2018,2018,1,Homicide Offences,40,Southern Region,Number,22.0
RCD06C01,Recorded crimes,2018,2018,1,Homicide Offences,IE0,State,Number,88.0
RCD06C01,Recorded crimes,2018,2018,2,Sexual Offences,10,Dublin Metropolitan Region,Number,960.0
RCD06C01,Recorded crimes,2018,2018,2,Sexual Offences,20,North Western Region,Number,675.0
RCD06C01,Recorded crimes,2018,2018,2,Sexual Offences,30,Eastern Region,Number,829.0
RCD06C01,Recorded crimes,2018,2018,2,Sexual Offences,40,Southern Region,Number,750.0
RCD06C01,Recorded crimes,2018,2018,2,Sexual Offences,IE0,State,Number,3214.0
RCD06C01,Recorded crimes,2018,2018,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",10,Dublin Metropolitan Region,Number,6620.0
RCD06C01,Recorded crimes,2018,2018,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",20,North Western Region,Number,4328.0
RCD06C01,Recorded crimes,2018,2018,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",30,Eastern Region,Number,4728.0
RCD06C01,Recorded crimes,2018,2018,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",40,Southern Region,Number,4511.0
RCD06C01,Recorded crimes,2018,2018,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",IE0,State,Number,20187.0
RCD06C01,Recorded crimes,2018,2018,4,Dangerous or Negligent Acts,10,Dublin Metropolitan Region,Number,1814.0
RCD06C01,Recorded crimes,2018,2018,4,Dangerous or Negligent Acts,20,North Western Region,Number,2129.0
RCD06C01,Recorded crimes,2018,2018,4,Dangerous or Negligent Acts,30,Eastern Region,Number,2319.0
RCD06C01,Recorded crimes,2018,2018,4,Dangerous or Negligent Acts,40,Southern Region,Number,2298.0
RCD06C01,Recorded crimes,2018,2018,4,Dangerous or Negligent Acts,IE0,State,Number,8560.0
RCD06C01,Recorded crimes,2018,2018,5,Kidnapping and Related Offences,10,Dublin Metropolitan Region,Number,50.0
RCD06C01,Recorded crimes,2018,2018,5,Kidnapping and Related Offences,20,North Western Region,Number,30.0
RCD06C01,Recorded crimes,2018,2018,5,Kidnapping and Related Offences,30,Eastern Region,Number,24.0
RCD06C01,Recorded crimes,2018,2018,5,Kidnapping and Related Offences,40,Southern Region,Number,31.0
RCD06C01,Recorded crimes,2018,2018,5,Kidnapping and Related Offences,IE0,State,Number,135.0
RCD06C01,Recorded crimes,2018,2018,6,"Robbery, Extortion and Hijacking Offences",10,Dublin Metropolitan Region,Number,1792.0
RCD06C01,Recorded crimes,2018,2018,6,"Robbery, Extortion and Hijacking Offences",20,North Western Region,Number,165.0
RCD06C01,Recorded crimes,2018,2018,6,"Robbery, Extortion and Hijacking Offences",30,Eastern Region,Number,253.0
RCD06C01,Recorded crimes,2018,2018,6,"Robbery, Extortion and Hijacking Offences",40,Southern Region,Number,237.0
RCD06C01,Recorded crimes,2018,2018,6,"Robbery, Extortion and Hijacking Offences",IE0,State,Number,2447.0
RCD06C01,Recorded crimes,2018,2018,7,Burglary and Related Offences,10,Dublin Metropolitan Region,Number,7612.0
RCD06C01,Recorded crimes,2018,2018,7,Burglary and Related Offences,20,North Western Region,Number,2607.0
RCD06C01,Recorded crimes,2018,2018,7,Burglary and Related Offences,30,Eastern Region,Number,3995.0
RCD06C01,Recorded crimes,2018,2018,7,Burglary and Related Offences,40,Southern Region,Number,2744.0
RCD06C01,Recorded crimes,2018,2018,7,Burglary and Related Offences,IE0,State,Number,16958.0
RCD06C01,Recorded crimes,2018,2018,8,Theft and Related Offences,10,Dublin Metropolitan Region,Number,35409.0
RCD06C01,Recorded crimes,2018,2018,8,Theft and Related Offences,20,North Western Region,Number,7386.0
RCD06C01,Recorded crimes,2018,2018,8,Theft and Related Offences,30,Eastern Region,Number,12354.0
RCD06C01,Recorded crimes,2018,2018,8,Theft and Related Offences,40,Southern Region,Number,11790.0
RCD06C01,Recorded crimes,2018,2018,8,Theft and Related Offences,IE0,State,Number,66939.0
RCD06C01,Recorded crimes,2018,2018,9,"Fraud, Deception and Related Offences",10,Dublin Metropolitan Region,Number,2821.0
RCD06C01,Recorded crimes,2018,2018,9,"Fraud, Deception and Related Offences",20,North Western Region,Number,1070.0
RCD06C01,Recorded crimes,2018,2018,9,"Fraud, Deception and Related Offences",30,Eastern Region,Number,1354.0
RCD06C01,Recorded crimes,2018,2018,9,"Fraud, Deception and Related Offences",40,Southern Region,Number,1063.0
RCD06C01,Recorded crimes,2018,2018,9,"Fraud, Deception and Related Offences",IE0,State,Number,6308.0
RCD06C01,Recorded crimes,2018,2018,10,Controlled Drug Offences,10,Dublin Metropolitan Region,Number,6876.0
RCD06C01,Recorded crimes,2018,2018,10,Controlled Drug Offences,20,North Western Region,Number,2209.0
RCD06C01,Recorded crimes,2018,2018,10,Controlled Drug Offences,30,Eastern Region,Number,5086.0
RCD06C01,Recorded crimes,2018,2018,10,Controlled Drug Offences,40,Southern Region,Number,4103.0
RCD06C01,Recorded crimes,2018,2018,10,Controlled Drug Offences,IE0,State,Number,18274.0
RCD06C01,Recorded crimes,2018,2018,11,Weapons and Explosives Offences,10,Dublin Metropolitan Region,Number,1147.0
RCD06C01,Recorded crimes,2018,2018,11,Weapons and Explosives Offences,20,North Western Region,Number,391.0
RCD06C01,Recorded crimes,2018,2018,11,Weapons and Explosives Offences,30,Eastern Region,Number,442.0
RCD06C01,Recorded crimes,2018,2018,11,Weapons and Explosives Offences,40,Southern Region,Number,462.0
RCD06C01,Recorded crimes,2018,2018,11,Weapons and Explosives Offences,IE0,State,Number,2442.0
RCD06C01,Recorded crimes,2018,2018,12,Damage to Property and to the Environment,10,Dublin Metropolitan Region,Number,8473.0
RCD06C01,Recorded crimes,2018,2018,12,Damage to Property and to the Environment,20,North Western Region,Number,3776.0
RCD06C01,Recorded crimes,2018,2018,12,Damage to Property and to the Environment,30,Eastern Region,Number,4714.0
RCD06C01,Recorded crimes,2018,2018,12,Damage to Property and to the Environment,40,Southern Region,Number,4552.0
RCD06C01,Recorded crimes,2018,2018,12,Damage to Property and to the Environment,IE0,State,Number,21515.0
RCD06C01,Recorded crimes,2018,2018,13,Public Order and other Social Code Offences,10,Dublin Metropolitan Region,Number,10416.0
RCD06C01,Recorded crimes,2018,2018,13,Public Order and other Social Code Offences,20,North Western Region,Number,6939.0
RCD06C01,Recorded crimes,2018,2018,13,Public Order and other Social Code Offences,30,Eastern Region,Number,5969.0
RCD06C01,Recorded crimes,2018,2018,13,Public Order and other Social Code Offences,40,Southern Region,Number,8640.0
RCD06C01,Recorded crimes,2018,2018,13,Public Order and other Social Code Offences,IE0,State,Number,31964.0
RCD06C01,Recorded crimes,2018,2018,15,"Offences against Government, Justice Procedures and Organisation of Crime",10,Dublin Metropolitan Region,Number,9284.0
RCD06C01,Recorded crimes,2018,2018,15,"Offences against Government, Justice Procedures and Organisation of Crime",20,North Western Region,Number,1621.0
RCD06C01,Recorded crimes,2018,2018,15,"Offences against Government, Justice Procedures and Organisation of Crime",30,Eastern Region,Number,2579.0
RCD06C01,Recorded crimes,2018,2018,15,"Offences against Government, Justice Procedures and Organisation of Crime",40,Southern Region,Number,3101.0
RCD06C01,Recorded crimes,2018,2018,15,"Offences against Government, Justice Procedures and Organisation of Crime",IE0,State,Number,16585.0
RCD06C01,Recorded crimes,2019,2019,1,Homicide Offences,10,Dublin Metropolitan Region,Number,25.0
RCD06C01,Recorded crimes,2019,2019,1,Homicide Offences,20,North Western Region,Number,12.0
RCD06C01,Recorded crimes,2019,2019,1,Homicide Offences,30,Eastern Region,Number,11.0
RCD06C01,Recorded crimes,2019,2019,1,Homicide Offences,40,Southern Region,Number,16.0
RCD06C01,Recorded crimes,2019,2019,1,Homicide Offences,IE0,State,Number,64.0
RCD06C01,Recorded crimes,2019,2019,2,Sexual Offences,10,Dublin Metropolitan Region,Number,1055.0
RCD06C01,Recorded crimes,2019,2019,2,Sexual Offences,20,North Western Region,Number,717.0
RCD06C01,Recorded crimes,2019,2019,2,Sexual Offences,30,Eastern Region,Number,831.0
RCD06C01,Recorded crimes,2019,2019,2,Sexual Offences,40,Southern Region,Number,757.0
RCD06C01,Recorded crimes,2019,2019,2,Sexual Offences,IE0,State,Number,3360.0
RCD06C01,Recorded crimes,2019,2019,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",10,Dublin Metropolitan Region,Number,7474.0
RCD06C01,Recorded crimes,2019,2019,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",20,North Western Region,Number,4622.0
RCD06C01,Recorded crimes,2019,2019,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",30,Eastern Region,Number,4724.0
RCD06C01,Recorded crimes,2019,2019,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",40,Southern Region,Number,5019.0
RCD06C01,Recorded crimes,2019,2019,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",IE0,State,Number,21839.0
RCD06C01,Recorded crimes,2019,2019,4,Dangerous or Negligent Acts,10,Dublin Metropolitan Region,Number,1977.0
RCD06C01,Recorded crimes,2019,2019,4,Dangerous or Negligent Acts,20,North Western Region,Number,2131.0
